customer_id,name,email,region,customer_type,lead_source,signup_date
C00001,Customer 1,customer1@example.com,West,B2C,Referral,2023-10-17
C00002,Customer 2,customer2@example.com,Central,B2B,Social,2022-04-25
C00003,Customer 3,customer3@example.com,East,B2C,Organic,2022-01-26
C00004,Customer 4,customer4@example.com,Central,B2C,Email,2022-10-09
C00005,Customer 5,customer5@example.com,Central,B2C,Social,2022-09-08
C00006,Customer 6,customer6@example.com,South,B2C,Email,2022-08-17
C00007,Customer 7,customer7@example.com,East,B2B,Referral,2022-05-23
C00008,Customer 8,customer8@example.com,East,B2C,Organic,2022-04-15
C00009,Customer 9,customer9@example.com,East,B2C,Social,2023-11-24
C00010,Customer 10,customer10@example.com,Central,B2C,Organic,2023-07-13
C00011,Customer 11,customer11@example.com,West,B2C,Referral,2022-03-31
C00012,Customer 12,customer12@example.com,East,B2C,Organic,2023-08-28
C00013,Customer 13,customer13@example.com,Central,B2C,Organic,2023-03-09
C00014,Customer 14,customer14@example.com,South,B2B,Paid,2022-02-02
C00015,Customer 15,customer15@example.com,West,B2C,Organic,2022-01-31
C00016,Customer 16,customer16@example.com,South,B2C,Email,2022-04-06
C00017,Customer 17,customer17@example.com,West,B2C,Social,2022-08-12
C00018,Customer 18,customer18@example.com,Central,B2C,Paid,2022-08-27
C00019,Customer 19,customer19@example.com,North,B2B,Social,2023-06-02
C00020,Customer 20,customer20@example.com,West,B2C,Social,2023-09-09
C00021,Customer 21,customer21@example.com,South,B2C,Referral,2022-01-28
C00022,Customer 22,customer22@example.com,Central,B2C,Referral,2023-07-29
C00023,Customer 23,customer23@example.com,West,B2C,Paid,2022-07-23
C00024,Customer 24,customer24@example.com,North,B2C,Referral,2023-10-28
C00025,Customer 25,customer25@example.com,North,B2B,Referral,2023-07-13
C00026,Customer 26,customer26@example.com,East,B2B,Referral,2023-03-06
C00027,Customer 27,customer27@example.com,East,B2B,Social,2022-08-14
C00028,Customer 28,customer28@example.com,South,B2C,Paid,2023-04-05
C00029,Customer 29,customer29@example.com,West,B2C,Social,2023-08-27
C00030,Customer 30,customer30@example.com,West,B2C,Email,2022-10-12
C00031,Customer 31,customer31@example.com,East,B2C,Social,2022-01-07
C00032,Customer 32,customer32@example.com,West,B2B,Email,2022-06-13
