customer_id,name,email,region,customer_type,lead_source,signup_date,segment_x,total_orders,total_revenue,avg_order_value_x,first_order_date,last_order_date,total_sessions,total_pageviews,last_visit_date,recency_days,frequency,monetary,avg_order_value_y,lifespan_days,orders_per_month,estimated_clv,r_score,f_score,m_score,rfm_score,rfm_total,segment_y,segment
C00001,Customer 1,customer1@example.com,West,B2C,Referral,2023-10-17,Unassigned,9,1029.51,114.39,2024-04-12,2024-11-01,2,38,2024-06-17,508.0,8.0,966.0699999999999,120.75874999999999,203.0,1.18,684.6165354330708,3.0,5.0,5.0,355,13.0,Loyal customers,No purchase
C00002,Customer 2,customer2@example.com,Central,B2B,Social,2022-04-25,Unassigned,5,610.32,122.064,2024-07-31,2024-11-17,23,226,2024-12-29,492.0,5.0,610.32,122.06400000000001,109.0,1.38,446.5756097560976,4.0,4.0,4.0,444,12.0,Champions,No purchase
C00003,Customer 3,customer3@example.com,East,B2C,Organic,2022-01-26,Unassigned,6,731.18,121.86333333333332,2024-07-08,2024-11-30,9,109,2024-11-11,480.0,3.0,433.03999999999996,144.34666666666666,144.0,0.62,324.78,5.0,2.0,4.0,524,11.0,New customers,No purchase
C00004,Customer 4,customer4@example.com,Central,B2C,Email,2022-10-09,Unassigned,5,424.54,84.908,2024-07-28,2024-10-30,14,164,2024-12-23,510.0,3.0,319.6,106.53333333333335,94.0,0.96,225.6,3.0,2.0,3.0,323,8.0,Potential loyalists,No purchase
C00005,Customer 5,customer5@example.com,Central,B2C,Social,2022-09-08,Unassigned,12,426.94,35.57833333333333,2024-03-11,2024-12-03,2,36,2024-04-19,476.0,8.0,265.38,33.1725,267.0,0.9,200.70756302521008,5.0,5.0,3.0,553,13.0,Loyal customers,No purchase
C00006,Customer 6,customer6@example.com,South,B2C,Email,2022-08-17,Unassigned,11,313.37,28.48818181818182,2024-05-31,2024-11-12,13,117,2024-07-12,497.0,8.0,218.71,27.33875,165.0,1.45,158.42173038229376,4.0,5.0,2.0,452,11.0,Frequent low-spenders,No purchase
C00007,Customer 7,customer7@example.com,East,B2B,Referral,2022-05-23,Unassigned,5,400.04,80.008,2024-05-21,2024-10-06,11,127,2024-04-24,606.0,2.0,168.77,84.385,43.0,1.4,100.25940594059406,1.0,1.0,2.0,112,4.0,Lost / dormant,No purchase
C00008,Customer 8,customer8@example.com,East,B2C,Organic,2022-04-15,Unassigned,3,233.43,77.81,2024-10-26,2024-12-14,19,217,2024-12-16,465.0,2.0,149.7,74.85,15.0,2.0,115.89677419354838,5.0,1.0,2.0,512,8.0,New customers,No purchase
C00009,Customer 9,customer9@example.com,East,B2C,Social,2023-11-24,Unassigned,7,804.3399999999999,114.90571428571428,2024-05-02,2024-10-22,3,29,2023-03-07,518.0,5.0,515.93,103.18599999999999,117.0,1.28,358.5613899613899,3.0,4.0,4.0,344,11.0,Loyal customers,No purchase
C00010,Customer 10,customer10@example.com,Central,B2C,Organic,2023-07-13,Unassigned,5,789.06,157.81199999999998,2024-06-19,2024-10-15,25,224,2024-12-28,525.0,2.0,316.23,158.115,60.0,1.0,216.84342857142857,3.0,1.0,3.0,313,7.0,Potential loyalists,No purchase
C00011,Customer 11,customer11@example.com,West,B2C,Referral,2022-03-31,Unassigned,7,788.0699999999999,112.58142857142856,2024-05-16,2024-10-20,17,188,2024-12-16,560.0,6.0,712.98,118.83,117.0,1.54,458.3442857142858,2.0,4.0,4.0,244,10.0,At-risk customers,No purchase
C00012,Customer 12,customer12@example.com,East,B2C,Organic,2023-08-28,Unassigned,2,188.93,94.465,2024-06-29,2024-07-04,25,270,2024-11-28,628.0,2.0,188.93,94.465,5.0,2.0,108.30382165605096,1.0,1.0,2.0,112,4.0,Lost / dormant,No purchase
C00013,Customer 13,customer13@example.com,Central,B2C,Organic,2023-03-09,Unassigned,1,51.33,51.33,2024-11-11,2024-11-11,5,39,2024-07-25,,,,,,,,,,,,,,No purchase
