customer_id,name,email,region,customer_type,lead_source,signup_date,recency_days,frequency,monetary,avg_order_value,lifespan_days,orders_per_month,estimated_clv,r_score,f_score,m_score,rfm_score,rfm_total,cluster_id,segment_label,action
C00001,Customer 1,customer1@example.com,West,B2C,Referral,2023-10-17,508.0,9.0,1029.51,114.39,203.0,1.33,739.71,3,5,5,355,13,1,Loyal customers,Upsell & deepen
C00002,Customer 2,customer2@example.com,Central,B2B,Social,2022-04-25,492.0,5.0,610.32,122.064,109.0,1.38,452.78,4,3,4,434,11,1,Loyal customers,Upsell & deepen
C00003,Customer 3,customer3@example.com,East,B2C,Organic,2022-01-26,479.0,5.0,637.46,127.492,145.0,1.03,485.75,4,3,4,434,11,1,Loyal customers,Upsell & deepen
C00004,Customer 4,customer4@example.com,Central,B2C,Email,2022-10-09,510.0,4.0,381.58,95.395,94.0,1.28,273.09,3,2,3,323,8,0,Potential loyalists,Nurture toward loyalty
C00005,Customer 5,customer5@example.com,Central,B2C,Social,2022-09-08,476.0,10.0,331.04,33.104,267.0,1.12,253.84,5,5,3,553,13,6,Loyal customers,Upsell & deepen
C00006,Customer 6,customer6@example.com,South,B2C,Email,2022-08-17,497.0,9.0,254.51,28.278888888888886,165.0,1.64,186.91,3,5,2,352,10,6,Frequent low-spenders,Grow basket size
C00007,Customer 7,customer7@example.com,East,B2B,Referral,2022-05-23,564.0,4.0,339.54,84.885,108.0,1.11,219.74,2,2,3,223,7,0,Lost / dormant,Win-back / suppress
C00008,Customer 8,customer8@example.com,East,B2C,Organic,2022-04-15,465.0,3.0,233.43,77.81,49.0,1.84,183.23,5,2,2,522,9,5,New customers,Onboard & convert
C00009,Customer 9,customer9@example.com,East,B2C,Social,2023-11-24,518.0,5.0,515.93,103.186,117.0,1.28,363.54,3,3,4,334,10,1,Loyal customers,Upsell & deepen
C00010,Customer 10,customer10@example.com,Central,B2C,Organic,2023-07-13,525.0,4.0,664.81,166.2025,60.0,2.0,462.2,2,2,4,224,8,5,Lost / dormant,Win-back / suppress
C00011,Customer 11,customer11@example.com,West,B2C,Referral,2022-03-31,520.0,7.0,788.0699999999999,112.58142857142856,157.0,1.34,553.16,3,4,4,344,11,1,Loyal customers,Upsell & deepen
C00012,Customer 12,customer12@example.com,East,B2C,Organic,2023-08-28,628.0,2.0,188.93,94.465,5.0,2.0,109.81,1,1,2,112,4,5,Lost / dormant,Win-back / suppress
C00014,Customer 14,customer14@example.com,South,B2B,Paid,2022-02-02,911.0,3.0,165.57,55.19,27.0,3.0,66.34,1,2,2,122,5,2,Lost / dormant,Win-back / suppress
C00015,Customer 15,customer15@example.com,West,B2C,Organic,2022-01-31,545.0,5.0,568.34,113.668,202.0,0.74,380.63,2,3,4,234,9,1,At-risk customers,Re-engage now
C00016,Customer 16,customer16@example.com,South,B2C,Email,2022-04-06,508.0,6.0,677.33,112.88833333333334,198.0,0.91,486.66,3,4,4,344,11,1,Loyal customers,Upsell & deepen
C00017,Customer 17,customer17@example.com,West,B2C,Social,2022-08-12,508.0,9.0,1101.95,122.4388888888889,241.0,1.12,791.76,3,5,5,355,13,1,Loyal customers,Upsell & deepen
C00018,Customer 18,customer18@example.com,Central,B2C,Paid,2022-08-27,512.0,5.0,640.5,128.1,61.0,2.46,456.61,3,3,4,334,10,4,Loyal customers,Upsell & deepen
C00019,Customer 19,customer19@example.com,North,B2B,Social,2023-06-02,524.0,3.0,324.1,108.03333333333336,59.0,1.53,225.76,2,2,3,223,7,5,Lost / dormant,Win-back / suppress
C00020,Customer 20,customer20@example.com,West,B2C,Social,2023-09-09,491.0,7.0,855.88,122.26857142857143,114.0,1.84,636.24,4,4,4,444,12,1,Champions,Reward & retain
C00021,Customer 21,customer21@example.com,South,B2C,Referral,2022-01-28,470.0,6.0,660.28,110.04666666666668,131.0,1.37,512.77,5,4,4,544,13,1,Champions,Reward & retain
C00022,Customer 22,customer22@example.com,Central,B2C,Referral,2023-07-29,515.0,7.0,786.1,112.3,108.0,1.94,557.14,3,4,4,344,11,1,Loyal customers,Upsell & deepen
